id	parent	iteration	status	description	n	sums	diffs	span	score	solver_seconds	evaluator_seconds	total_seconds	set_hash	artifact_sha256	candidate_count	selected_candidate_index	selected_candidate_seed
sol_0010	sol_0005	9	ok	Anneal exact-score two-digit constructions with overlapping low digits and mutable bases to exploit controlled carries while retaining the parent fallback.	405	2395	2003	1198	1.111814562869239	170.1219356250076	0.04605591599829495	170.17023387500376	579ce595e244f06c7da990b506bdd4de6e5edf7c88b6d05c1df7f6e98c13df2d	9099a8118c0f638d1a4c2a1edcf2e478748cc3897f3a8da9930ca1b2f7f4475c	4	1	20260791782194
sol_0011	sol_0005	10	ok	Anneal wide modulus-9-to-40 residue intervals at a 480-element target with independent mutable fringe rows and an exact bitset score.	405	2395	2003	1198	1.111814562869239	168.12340437500097	0.031240166004863568	168.15653583400126	579ce595e244f06c7da990b506bdd4de6e5edf7c88b6d05c1df7f6e98c13df2d	9099a8118c0f638d1a4c2a1edcf2e478748cc3897f3a8da9930ca1b2f7f4475c	4	0	20260792782196
sol_0012	sol_0005	11	ok	Evolve four radix-specific populations of three-level conditional masks using exact bitset scoring, uniform crossover, bit flips, and row-copy mutations.	405	2395	2003	1198	1.111814562869239	174.63205362499866	0.040441584002110176	174.67571124999085	579ce595e244f06c7da990b506bdd4de6e5edf7c88b6d05c1df7f6e98c13df2d	9099a8118c0f638d1a4c2a1edcf2e478748cc3897f3a8da9930ca1b2f7f4475c	4	0	20260793782199
sol_0013	sol_0005	12	ok	Search 32 deterministic dense-middle constructions with independently annealed asymmetric fringes and exact bitset scoring while retaining the pinned parent fallback.	405	2395	2003	1198	1.111814562869239	170.07700733299134	0.04850445799820591	170.12767750000057	579ce595e244f06c7da990b506bdd4de6e5edf7c88b6d05c1df7f6e98c13df2d	9099a8118c0f638d1a4c2a1edcf2e478748cc3897f3a8da9930ca1b2f7f4475c	4	0	20260794782202
sol_0014	sol_0005	13	ok	Run a deterministic 16-island genetic search over canonical small sets with diverse exact-score elites, periodic migration, and the pinned periodic parent as fallback.	405	2395	2003	1198	1.111814562869239	171.11435633301153	0.08913687498716172	171.2070136669936	579ce595e244f06c7da990b506bdd4de6e5edf7c88b6d05c1df7f6e98c13df2d	9099a8118c0f638d1a4c2a1edcf2e478748cc3897f3a8da9930ca1b2f7f4475c	4	0	20260795782205
sol_0015	sol_0005	14	ok	Exhaustively census normalized subsets of [0,20], retain exact Pareto templates, and test deterministic carry-free products with one-point deletions.	405	2395	2003	1198	1.111814562869239	137.9404515829956	0.04526241699932143	137.98932283399336	579ce595e244f06c7da990b506bdd4de6e5edf7c88b6d05c1df7f6e98c13df2d	9099a8118c0f638d1a4c2a1edcf2e478748cc3897f3a8da9930ca1b2f7f4475c	4	0	20260796782208
sol_0016	sol_0005	15	ok	Run a 20,000-state deterministic exact-signature beam that alternately extends both fringes of width-4-to-8 periodic row constructions while preserving the pinned parent fallback.	405	2395	2003	1198	1.111814562869239	163.10860104099265	0.043619834003038704	163.15685912499612	579ce595e244f06c7da990b506bdd4de6e5edf7c88b6d05c1df7f6e98c13df2d	9099a8118c0f638d1a4c2a1edcf2e478748cc3897f3a8da9930ca1b2f7f4475c	4	0	20260797782211
sol_0017	sol_0005	16	ok	Exhaust all 16-bit occupancies of overlapping four-row blocks across both 24-row fringes using exact factored bitset scoring and timed incumbent fallback.	405	2395	2003	1198	1.111814562869239	6.379119165998418	0.03522391700244043	6.417058334001922	579ce595e244f06c7da990b506bdd4de6e5edf7c88b6d05c1df7f6e98c13df2d	9099a8118c0f638d1a4c2a1edcf2e478748cc3897f3a8da9930ca1b2f7f4475c	4	0	20260798782214
sol_0018	sol_0005	17	ok	Exhaust width-four two-phase cores over 80–128 rows, then deterministically coordinate-polish eight boundary rows per side with an exact bitset score and pinned-parent fallback.	405	2395	2003	1198	1.111814562869239	45.97661029201117	0.02846825000597164	46.008498499999405	579ce595e244f06c7da990b506bdd4de6e5edf7c88b6d05c1df7f6e98c13df2d	9099a8118c0f638d1a4c2a1edcf2e478748cc3897f3a8da9930ca1b2f7f4475c	4	0	20260799782217
sol_0019	sol_0005	18	ok	Exhaust all modulus-5-to-12 periodic residue masks and row counts, then exactly coordinate-polish twelve boundary rows of the top 64 cores with incumbent fallback.	405	2395	2003	1198	1.111814562869239	83.27911241700349	0.02796545899764169	83.30873225000687	579ce595e244f06c7da990b506bdd4de6e5edf7c88b6d05c1df7f6e98c13df2d	9099a8118c0f638d1a4c2a1edcf2e478748cc3897f3a8da9930ca1b2f7f4475c	4	0	20260800782220
sol_0020	sol_0005	19	ok	Run a 2000-state exact-score beam over three heterogeneous modulus-5-to-8 periodic segments, then greedily polish both boundaries and segment junctions with the pinned parent as fallback.	405	2395	2003	1198	1.111814562869239	1.9235127499996452	0.029175625008065253	1.9558670420083217	579ce595e244f06c7da990b506bdd4de6e5edf7c88b6d05c1df7f6e98c13df2d	9099a8118c0f638d1a4c2a1edcf2e478748cc3897f3a8da9930ca1b2f7f4475c	4	0	20260801782223
